pool_hash;ticker;name;cluster_id;cluster_name
32ae538b59a19834504e8b22dff0f703572d7ee1d0e2ea233e1b300c;KTN4;KTN4;117;katanapool.com
bbbe8bd9d3942563c7cf02e2d605516fb8376e3a49689d9b028cc2ab;PEGA;Pegasus;;
9ffd5ceefaf338459f086690ebca63c2cc81841f1b4429cabf8fef49;KTN;KTN;117;katanapool.com
b3cc3005f1dccbc88230eb66d6e99c2f1bfa32273044473e17d9e10b;JP2;JAPAN2;16;tokyostaker.com
06b4d54e25e33f3adfa22098749005f7b610721e3c24d547450267ec;KTN2;KTN2;117;katanapool.com
ffcd73fdf73a0a8b8a3318afe9b599654d58b276f2a70cec5bf168c3;JP4;JAPAN4;16;tokyostaker.com
2e65f9aa580a28d0df07dd2773c09da9604c40127b158919da9db85d;POP;POP;38;popool.net
0b38a13726b9dc3aa11be08af93003e775d9d62091765e0e1e3d027b;KTN3;KTN3;117;katanapool.com
cad3d1c69faad3a6777143009a367d07bf960a2a621d50bdf215bc0f;POP2;POP2;38;popool.net
ee9ef63e4d50a24ecba269de1bfe71c9b36e6f7e4534d2919f1df4c3;POP3;POP3;38;popool.net
1b5f8eb4c3de5274fca5cab708ac8b100feaed5db8fbdc9923b8663d;PROM;Prometheus Pool;;
9138b6f09e8e69c29fdee4e11b147b7ad351aab23fc73a9976907f10;KOALA;Koala Pool help save Koalas;;
43a7cf27c04747c306e744e3c51c01bb01c64e5a8e7e46c46f9cdbdc;JAZZ2;JAZZ2;;
81ab938d86519a6459ce524325ed839f52b48d69465453627e55efeb;UK1;UK pool;57;londonpool.co.uk
87021d7881cff6817040033a3c6b0246d11421c198e69195e60a7000;1PCT;1 Percent Pool (v1);1;1percentpool.eu
f4762ca1dce3c32c0d7a7e6d9f8a54bf40338e99ae5f3ad0172c9a2f;ROCKY;Rocky Mountain Pool;;
bbe8aaed7d10e53102f4cd78fd3e504d8ff0c0009243da208893b970;JAZZ;JAZZ;;
7d479a2fb245ebb087d8f56b6bf434d7d3a7970997e7da1212b73670;TOKYO;TOKYO;;
bc00a90f9f448be5cfaa4e76dbc13353b83b59cb3f2c5e321555ca28;JAZZ3;JAZZ3;;
71375058d06033230275fd28428bcf3eec6c47404654706583605f4d;ACORN;Acorn pool;;
e29b14719f694767d0faf92f654cf66585bcefd8139bf5a33b7ed181;SALAD;Insalada Stake Pool;;
463e481957f266d93e4decbfb73003380ab17223e0e569f71c7a525a;1PCT0;1 Percent Pool #0 (v1);1;1percentpool.eu
d69b6b16c6a135c4157365ded9b0d772d44c7628a05b49741d3ae25c;VIPER;🐍Viper Stake Pool;;
8253f8a94044070ddb196884eb3e912e9b6dca9a0e3210325a09a335;MOON1;MOON1 Stake Pool powered by lunarpool.io;;
844540411ea37a35689620b02570eec2a0e403c1207c92c1b7a4dfa0;1PCT1;1 Percent Pool #1 (v1);1;1percentpool.eu
c73186434c6fc6676bd67304d34518fc6fd7d5eaddaf78641b1e7dcf;ADAGO;ADAGO POOL;;
95ef4e541a1e89b38ffefe125060ff441b03c0d77dbfaff656bd1d64;BEBOP;BeBop ADA Pool;48;bebopadapool.com
ad7672d51077091866aff6fb43f9f3b75d427c961f6de8a135b07219;APOOL;Apool;;
17a6a1f2fb36d9ef275805db17409af7ab753b9d27bdd41b89510bb9;1PCT2;1 Percent Pool #2 (v1);1;1percentpool.eu
56f78c5478524496790461eefd4d9380f71dfb231358736902648dfe;1PCT3;1 Percent Pool #3 (v1);1;1percentpool.eu
64e09628015d1065e4a11f032c90f677ba1f2f583ff0f55a158450b0;1PCT4;1 Percent Pool #4;1;1percentpool.eu
1d8988c2057d6efd6a094e468840a51942ab03b5b69b07a2bca71b53;1PCT5;1 Percent Pool #5 (v1);1;1percentpool.eu
2b86af0e2d02fde9b5e06785870bb271d3f891ecd14d40a75180a7ce;ABRO;🔱 ADABros 🔱;;
0915c3599c9155abd550abdc6fab4dbbd08e80e7532bb7decd29767d;EARTH;EARTH;;
e75ff353a1a2e454d3fe59249f87dad63b4270b16caf4b819bae5f69;1PCT6;1 Percent Pool #6 (v1);1;1percentpool.eu
d34d33e345f006058bf136745a2c6b6e557621cf02dbaa29e71f3a0f;CENT;Stake Pool Central;62;cent.stakepoolcentral.com
e00ff546b17eb7ed726411edc74eccdad9d176d0d338c21a3d8daf34;PLTUS;💰 Plutus Staking 💰;;
71efddeabf5dd8211853a5ed30548391ccb54fa3b55e5828db9afee6;1PCT7;1 Percent Pool #7 (v1);1;1percentpool.eu
90f35b86d1bb85f15f559a612b5f3a406af7ea04530f65807950177f;THETA;Theta Staking Pool;;
f59e3495e638303cfa63750d5da209412a59c880680e7a8393dd5368;IRON;Iron pool;;
0319357f4578b716282f4c58dd6be4d613053a40346a208306a05d03;ADDER;🐍Adder Stake Pool;;
6b5180a258275c671690c94c704f074190e90ea900ed565b4c29abe8;1PCT8;1 Percent Pool #8 (v1);1;1percentpool.eu
